base_bid,pred_threshold,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.24999999999999997,0.25,64808,159,4287086,0,0.002453400814714233,66150.56783113195,26962.80503144654,0.29056294957973766
0.27499999999999997,0.25,66862,161,4596135,0,0.0024079447219646434,68740.61499805571,28547.42236024845,0.2941720395604515
0.29999999999999993,0.25,68605,163,4871299,0,0.0023759201224400556,71005.01421179214,29885.269938650308,0.2977891884371004
0.32499999999999996,0.25,69979,163,5098600,0,0.002329270209634319,72859.00055731005,31279.754601226992,0.29776119848941696
0.35,0.25,71157,166,5301407,0,0.0023328695701055413,74502.95824725607,31936.18674698795,0.30321790356024514
0.3749999999999999,0.25,72261,167,5498749,0,0.0023110668271958596,76095.6670956671,32926.64071856288,0.30502300373268115
0.3999999999999999,0.25,73190,168,5672465,0,0.0022953955458395957,77503.27913649406,33764.67261904762,0.30683178278204926
0.42499999999999993,0.25,73961,168,5820377,0,0.0022714673949784346,78695.21774989522,34645.10119047619,0.30681742589153255
0.44999999999999996,0.25,74681,169,5962580,0,0.0022629584499404133,79840.65558843614,35281.53846153846,0.30863050234269157
0.47499999999999987,0.25,75285,171,6085387,0,0.0022713687985654514,80831.33426313342,35587.05847953216,0.3122719121882302
0.4999999999999999,0.25,75798,172,6195061,0,0.00226918916066387,81731.19343518298,36017.79651162791,0.3140887862236711
0.5249999999999999,0.25,76082,171,6249938,366,0.0022475749848847298,82147.39360164035,36549.34502923977,0.31225763590002176
0.1,0.3,38328,102,1958033,0,0.0026612398246712585,51086.229388436645,19196.401960784315,0.1870512893493482
0.125,0.3,41724,116,2219430,0,0.002780174479915636,53193.126258268625,19133.01724137931,0.2125771955970403
0.15,0.3,44688,132,2498365,0,0.002953813104189044,55906.843000358036,18927.007575757576,0.24177228786251342
0.175,0.3,47344,141,2795989,0,0.002978202095302467,59056.88154782021,19829.709219858156,0.25815055762081784
0.19999999999999998,0.3,49759,149,3104328,0,0.002994433167869129,62387.26662513314,20834.41610738255,0.2727057508098124
