base_bid,pred_threshold,variable_bid,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
40,0.9,20,48,8.0,1381.0,0,0.16666666666666666,28770.833333333332,172.625,0.11454545454545453
40,0.1,40,35280,58.0,883593.0,0,0.0016439909297052155,25045.15306122449,15234.362068965518,0.10644094001236858
40,0.2,40,16776,51.0,436831.0,0,0.003040057224606581,26039.043872198377,8565.313725490196,0.09455130706203668
40,0.30000000000000004,40,9248,48.0,243332.0,0,0.005190311418685121,26311.851211072666,5069.416666666667,0.09038691412393836
40,0.4,40,5580,46.0,146024.0,0,0.008243727598566309,26169.175627240144,3174.4347826086955,0.08858260019550342
40,0.5,40,3659,45.0,93556.0,0,0.012298442197321673,25568.734626947255,2079.0222222222224,0.08919724713657484
40,0.6,40,2401,42.0,59047.0,0,0.01749271137026239,24592.669720949605,1405.8809523809523,0.0868592631857938
40,0.7000000000000001,40,1329,38.0,31017.0,0,0.028592927012791574,23338.600451467268,816.2368421052631,0.08624666529858403
40,0.8,40,467,25.0,11034.0,0,0.05353319057815846,23627.408993576017,441.36,0.07757445980144054
40,0.9,40,69,18.0,2756.0,0,0.2608695652173913,39942.02898550724,153.11111111111111,0.18924901185770748
40,0.1,60,38346,75.0,1060355.0,0,0.0019558754498513534,27652.297501695095,14138.066666666668,0.13753716163354718
40,0.2,60,18509,68.0,540991.0,0,0.003673888378626614,29228.537468258684,7955.75,0.12584069666353961
40,0.30000000000000004,60,10317,63.0,310019.0,0,0.0061064262867112536,30049.33604730057,4920.936507936508,0.11820931031748132
40,0.4,60,6249,61.0,188484.0,0,0.009761561849895984,30162.26596255401,3089.901639344262,0.11676602801902851
40,0.5,60,4072,60.0,120395.0,0,0.014734774066797643,29566.55206286837,2006.5833333333333,0.11793177353098767
40,0.6,60,2647,59.0,75144.0,0,0.022289384208537967,28388.3641858708,1273.6271186440679,0.12064635779785006
40,0.7000000000000001,60,1471,53.0,40578.0,0,0.03602991162474507,27585.31611148878,765.622641509434,0.11798158333848341
40,0.8,60,525,39.0,15310.0,0,0.07428571428571429,29161.90476190476,392.56410256410254,0.11548051948051949
