noBidThreshold,minBid,bidRange,sigmoidDegree,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.2833333333333333,150,100,-20,31025,149.0,2324011.0,0,0.0048025785656728446,74907.68734891216,15597.389261744966,0.27379063804849463
0.2833333333333333,150,100,-30,30797,148.0,2291947.0,0,0.004805662889242459,74421.11244601746,15486.128378378378,0.27197430682445456
0.2833333333333333,150,100,-40,30718,148.0,2281927.0,0,0.004818022006641057,74286.31421316492,15418.425675675675,0.27198172229489376
0.2833333333333333,150,100,-50,30700,147.0,2281309.0,0,0.004788273615635179,74309.73941368079,15519.108843537415,0.27014569144210837
0.2833333333333333,150,150,-10,32582,152.0,2615433.0,0,0.0046651525382112825,80272.32827941809,17206.79605263158,0.27916272788656316
0.2833333333333333,150,150,-20,31706,152.0,2471158.0,0,0.004794045291112092,77939.75903614458,16257.618421052632,0.2792400635383036
0.2833333333333333,150,150,-30,31346,152.0,2414923.0,0,0.004849103553882473,77040.86645824029,15887.651315789473,0.2792730984959659
0.2833333333333333,150,150,-40,31168,151.0,2387109.0,0,0.004844712525667351,76588.45610882957,15808.668874172185,0.277452282060855
0.2833333333333333,150,150,-50,31090,151.0,2374760.0,0,0.004856867159858475,76383.40302348022,15726.887417218542,0.2774595748413697
0.2833333333333333,150,200,-10,33209,152.0,2750077.0,0,0.004577072480351712,82811.19576018548,18092.611842105263,0.2791098798518474
0.2833333333333333,150,200,-20,32097,152.0,2553493.0,0,0.004735645075863788,79555.5036296227,16799.29605263158,0.27920502340915465
0.2833333333333333,150,200,-30,31619,152.0,2472488.0,0,0.0048072361554761375,78196.2743919795,16266.368421052632,0.27924797805692203
0.2833333333333333,150,200,-40,31354,151.0,2427954.0,0,0.004815972443707342,77436.81826880143,16079.165562913908,0.277435038011679
0.2833333333333333,150,200,-50,31244,151.0,2408766.0,0,0.004832927922161055,77095.31430034566,15952.092715231787,0.2774452112987512
0.2833333333333333,150,250,-10,33669,152.0,2849482.0,0,0.004514538596334908,84632.2136089578,18746.592105263157,0.27907235952143733
0.2833333333333333,150,250,-20,32377,152.0,2608792.0,0,0.004694690675479507,80575.47024122061,17163.105263157893,0.27918045076892406
0.2833333333333333,150,250,-30,31786,152.0,2506096.0,0,0.004781979487824829,78842.76096394639,16487.473684210527,0.27923282405633126
0.2833333333333333,150,250,-40,31478,151.0,2453483.0,0,0.004797001080119449,77942.78543744837,16248.23178807947,0.27742365519352624
0.2833333333333333,150,250,-50,31336,151.0,2428471.0,0,0.00481873883073781,77497.7980597396,16082.58940397351,0.2774366978438973
0.2833333333333333,200,50,-10,33332,149.0,2751751.0,0,0.004470178807152286,82555.83223328933,18468.127516778524,0.2735911981933823
0.2833333333333333,200,50,-20,33175,149.0,2719752.0,0,0.004491333835719668,81981.97437829692,18253.36912751678,0.27360389121052275
0.2833333333333333,200,50,-30,33067,149.0,2698109.0,0,0.004506002963679802,81595.21577403453,18108.11409395973,0.2736126926872988
0.2833333333333333,200,50,-40,33013,149.0,2687140.0,0,0.004513373519522613,81396.41959228183,18034.4966442953,0.2736171150208045
0.2833333333333333,200,50,-50,32982,149.0,2680973.0,0,0.004517615669152871,81285.9438481596,17993.107382550337,0.27361966031058266
0.2833333333333333,200,100,-10,34079,153.0,2924776.0,0,0.004489568355878987,85823.41031133542,19116.183006535946,0.28087555919534557
